thread nodes time
1273 0 435.271027
1274 0 435.271027
1275 1 435.271027
1276 1 435.271027
1277 1666 435.271027
1278 1554 435.271027
1279 0 435.271027
1312 0 435.271027
1313 1636 435.271027
1314 0 435.271027
1315 1692 435.271027
1316 1 435.271027
1317 1657 435.271027
1318 1669 435.271027
1319 1632 435.271027
1320 0 435.271027
1321 1671 435.271027
1322 0 435.271027
1323 3271 435.271027
1324 1613 435.271027
1325 3222 435.271027
1326 1624 435.271027
1327 0 435.271027
1280 0 438.807068
1281 1656 438.807068
1282 0 438.807068
1283 1 438.807068
1284 1629 438.807068
1285 1656 438.807068
1286 1 438.807068
1287 1656 438.807068
1288 0 438.807068
1289 1655 438.807068
1290 1673 438.807068
1291 0 438.807068
1292 2 438.807068
1293 1 438.807068
1294 0 438.807068
1295 0 438.807068
1328 1578 438.807068
1329 1673 438.807068
1330 1658 438.807068
1331 3309 438.807068
1332 0 438.807068
1333 0 438.807068
1334 3329 438.807068
1335 0 438.807068
1336 1667 438.807068
1337 1654 438.807068
1338 1701 438.807068
1339 0 438.807068
1340 1693 438.807068
1341 4 438.807068
1342 1 438.807068
1343 2 438.807068
1840 0 445.147186
1841 0 445.147186
1842 1632 445.147186
1843 1604 445.147186
1844 1606 445.147186
1845 1637 445.147186
1846 3236 445.147186
1847 3337 445.147186
1848 0 445.147186
1849 1602 445.147186
1850 1 445.147186
1851 1707 445.147186
1852 0 445.147186
1853 0 445.147186
1854 1 445.147186
1855 0 445.147186
1888 1 445.147186
1889 0 445.147186
1890 1611 445.147186
1891 3 445.147186
1892 1668 445.147186
1893 1621 445.147186
1894 1678 445.147186
1895 4903 445.147186
1896 0 445.147186
1897 0 445.147186
1898 0 445.147186
1899 0 445.147186
1900 1 445.147186
1901 1663 445.147186
1902 0 445.147186
1903 0 445.147186
1536 1645 445.717377
1537 3213 445.717377
1538 0 445.717377
1539 0 445.717377
1540 0 445.717377
1541 1594 445.717377
1542 0 445.717377
1543 0 445.717377
1544 0 445.717377
1545 2 445.717377
1546 1634 445.717377
1547 1586 445.717377
1548 1653 445.717377
1549 3310 445.717377
1550 1662 445.717377
1551 1636 445.717377
1584 1689 445.717377
1585 1659 445.717377
1586 1 445.717377
1587 0 445.717377
1588 1642 445.717377
1589 0 445.717377
1590 0 445.717377
1591 3297 445.717377
1592 0 445.717377
1593 1627 445.717377
1594 0 445.717377
1595 1675 445.717377
1596 1600 445.717377
1597 1639 445.717377
1598 0 445.717377
1599 0 445.717377
1744 0 448.446930
1745 2 448.446930
1746 1 448.446930
1747 3234 448.446930
1748 1643 448.446930
1749 0 448.446930
1750 1626 448.446930
1751 3400 448.446930
1752 0 448.446930
1753 1657 448.446930
1754 0 448.446930
1755 1692 448.446930
