thread nodes time
2043 1 501.332062
2044 0 501.332062
2045 3350 501.332062
2046 0 501.332062
2047 1 501.332062
2080 1659 501.332062
2081 3 501.332062
2082 1627 501.332062
2083 0 501.332062
2084 1638 501.332062
2085 0 501.332062
2086 1641 501.332062
2087 6 501.332062
2088 1 501.332062
2089 1607 501.332062
2090 3349 501.332062
2091 1 501.332062
2092 0 501.332062
2093 0 501.332062
2094 0 501.332062
2095 0 501.332062
864 6 503.038269
865 1568 503.038269
866 1635 503.038269
867 1 503.038269
868 1566 503.038269
869 1683 503.038269
870 1668 503.038269
871 1 503.038269
872 0 503.038269
873 0 503.038269
874 0 503.038269
875 0 503.038269
876 1699 503.038269
877 0 503.038269
878 1624 503.038269
879 1642 503.038269
912 1653 503.038269
913 1632 503.038269
914 1633 503.038269
915 1 503.038269
916 1655 503.038269
917 3228 503.038269
918 1653 503.038269
919 0 503.038269
920 3350 503.038269
921 1643 503.038269
922 1648 503.038269
923 1611 503.038269
924 1651 503.038269
925 0 503.038269
926 0 503.038269
927 0 503.038269
1248 1673 504.183105
1249 1626 504.183105
1250 3348 504.183105
1251 0 504.183105
1252 0 504.183105
1253 0 504.183105
1254 1635 504.183105
1255 2 504.183105
1256 3 504.183105
1257 1 504.183105
1258 0 504.183105
1259 3344 504.183105
1260 1 504.183105
1261 1630 504.183105
1262 1677 504.183105
1263 1638 504.183105
1296 2 504.183105
1297 1 504.183105
1298 1612 504.183105
1299 1682 504.183105
1300 0 504.183105
1301 0 504.183105
1302 0 504.183105
1303 2 504.183105
1304 1714 504.183105
1305 3422 504.183105
1306 1638 504.183105
1307 3363 504.183105
1308 0 504.183105
1309 1690 504.183105
1310 1 504.183105
1311 1604 504.183105
608 1692 507.225464
609 3 507.225464
610 1663 507.225464
611 1628 507.225464
612 1622 507.225464
613 1620 507.225464
614 0 507.225464
615 0 507.225464
616 1 507.225464
617 1590 507.225464
618 3 507.225464
619 1661 507.225464
620 0 507.225464
621 1649 507.225464
622 1675 507.225464
623 1577 507.225464
656 2 507.225464
657 1716 507.225464
658 1713 507.225464
659 0 507.225464
660 1580 507.225464
661 5 507.225464
662 1607 507.225464
663 0 507.225464
664 1638 507.225464
665 0 507.225464
666 2 507.225464
667 3257 507.225464
668 3352 507.225464
669 3281 507.225464
670 2 507.225464
671 0 507.225464
1056 0 509.071625
1057 0 509.071625
1058 1676 509.071625
1059 1690 509.071625
1060 5075 509.071625
1061 1644 509.071625
1062 0 509.071625
1063 1657 509.071625
1064 1 509.071625
1065 1 509.071625
1066 0 509.071625
1067 3227 509.071625
1068 1640 509.071625
1069 0 509.071625
1070 3337 509.071625
1071 1591 509.071625
1104 1679 509.071625
